,user_id,count
0,CxDOIDnH8gp9KXzpBHJYXw,6
1,xSiaSnRfXBVZstO9LBNRaA,4
2,1O638BDK_fWuxgTVJwff-A,4
3,HLaSqQMDVvlcFPGJL_kGCA,4
4,ELcQDlf69kb-ihJfxZyL0A,4
5,8tdpq4NS0rd9c0eyy9M2lA,3
6,sTcYq6goD1Fa2WS9MSkSvQ,3
7,4wp4XI9AxKNqJima-xahlg,3
8,eWyhZ-114SqkZkG0RyJG9A,3
9,Wx7cbLDqYEL3_aVZwh82Ww,3
10,PKEzKWv_FktMm2mGPjwd0Q,3
11,cCke3VtFLtqgzkgYSrSE2g,2
12,pu_AQig2fw40PshvtgONPQ,2
13,eguB3eXzLRK3h40Oi0Iw3g,2
14,fExj_WQCSQnqtJJitlp1ag,2
15,X8FXx55SqlUqE4h4vcSLtQ,2
16,46TNf-5T5EcNFRJPYv_nrw,2
17,Zp5B_Ar8sMudMG62UeLYMg,2
18,gU7p5fvJqDnh8q_L8HlgOw,2
19,lUWOUW3gI7Hp75vZJbA_uA,2
20,WcHGqH9kwTKsvsN_w12cgQ,2
21,xTxzruMecRRb2hMQ6QzuMA,2
22,LaiylSIbrA3aPvOYtl-J4A,2
23,M9TjYmTgHayJ22cNkyvW_g,2
24,i6V3NyTdkBVwPpH7r2BINA,2
25,NfU0zDaTMEQ4-X9dbQWd9A,2
26,yT_QCcnq-QGipWWuzIpvtw,2
27,c7tkuOoLCrBzfkdC1bvwLQ,2
28,_MMel4kdjjwAc3jiEmlRcQ,2
29,5nCUJ9i8SQIVyqzd6dM_9A,2
30,lMIm1Ye7BeVE21xqlImqEw,2
31,vU8eyqx5z-g8TVmgPvRfVQ,2
32,2Fi20wCPWrWWvuKDssePeA,2
33,0-zHvlwR7ZmVeasLRGwpag,2
34,Zr535e3501Ygs4hO5hO05Q,2
35,iDJCA-MMb8LRpBEN5qIWrA,2
36,rzq5nqG2NG13o3ISxJSrsQ,2
37,qn5F6kkmhZzW-2ofPpGHeg,2
38,vbZZw6tZgH8PNu6NLcK6Sg,2
39,wxRVZowoEoy7kscvU-FX-w,2
40,nnbG-XPXHeomn7KtHItmHg,2
41,c9zDQl4vQg41Pxmc5TpWWQ,2
42,mIPlHNvX9wtIjhrfiF4ggA,2
43,WTTlaXK_2g17grShzdsczw,2
44,1UwJVPsIiQ1VpzRZhLftSw,2
45,dIIKEfOgo0KqUfGQvGikPg,2
46,fhwZh6_7YxWeVEuskKMTcA,2
47,40yNLnGce4GPJVVz8lXYsg,2
48,CyPLi2BMi3N2z-E7Qpp26A,2
49,GTq2hjEICAqB75r3g_VkHg,2
50,A0Tkq4VV8dD6t8NbBxvBPA,2
51,xS6kmkMXp0PRrFwkSWq2-w,2
52,5YkIpSPodn-LwkEhs1ZNbw,2
53,pQ8qmUnAZH0hYToenRS57Q,2
54,WdH8pzmTvPyFucmrfI0bUA,2
55,xILLJJViIjT8mFkWBmumJQ,2
56,b04v2r8jaHlKTsPaZJ8exg,2
57,i6ku-0hfu_NElX9SBwgOBA,2
58,r1GQcCXHL3dF93OvDosOaw,2
59,A4bpHuvzaQt9-XAg8e9Msw,2
60,y2651Fx4BMalRcfINMWniA,2
61,FTsRfaVbDUB6Sc6pL-J80w,2
62,Y-aeqCKNf7RQvVBZw6oCkQ,2
63,0l3x4EgoWVYdla3CPpAKag,2
64,pjH3RbVJbHJqWLgwJTNLAA,2
65,C0SxQ9hRe2HhTjmIrFEcaw,2
66,uEvusDwoSymbJJ0auR3muQ,2
67,JaqcCU3nxReTW2cBLHounA,2
68,jnn504CkjtfbYIwBquWmBw,2
69,K-w94EzfWkpl8YhpTeqW0w,2
70,mY3mROf28N-vY1fpR-FFUw,2
71,GiQ2F7ociTqGTrcL6kLpAw,2
72,FtHEH8uAV3AQBoHwUw-HfA,2
73,8NMeJBvF-1BiBxJJGm_0Iw,2
74,cgRKSmpD7dEWREKI_jZriw,2
75,Oazw0yQC7t_O8qBoJF9Ssg,2
76,9dd0C3KQD6Gq-hiE-w9nKA,2
77,QfJXkZpYFEy7UV_-95N_BQ,2
78,mnJvynzRIYptrjyKtEBiTA,2
79,klN7Yw_aVUBscqhlkpKkRA,2
80,wnFWoQ63F9-ohUQ-C0AeIw,2
81,DSWtLlrwFZ870hnDamg5Wg,2
82,aIg29snwGTFBzkV7HtDHfg,2
83,0TJ01iwzVLXtr_EYcfqoWQ,2
84,FzRxr6E-3kjOb9wpsSOJ4Q,2
85,xy4-gRbmKPlKVetyVG1mkQ,2
86,ciXjBfJrAEteIKpzZg4I9g,2
87,VigsAph76fP7pechJ743EA,2
88,yXl-JUla5qr8TeitOu0C4A,2
89,0DYD2v4FJ7IIJ2dKaTcrTQ,2
90,kfNQzi7nxMeYaFGTHPJEKg,2
91,cGjgTeEgbv8JZHjvtPDpwA,2
92,d3EqggaHzuON2t7k1Z30Fg,2
93,0ewBXg2oHMsPEuDDTpZ_kQ,2
94,yruTLOggpeMXoHu_O_Zd3A,2
95,aLqp_fe64ugZFuwMpsXLiw,2
96,U4INQZOPSUaj8hMjLlZ3KA,2
97,RHm3XqmsH_hqbDc_jHM-iw,2
98,kjeX2RXvW7RhBbD2QLd5jA,2
99,_ee95opWLnHPT_u38BY9WQ,2
100,vD3S6Klov8x1Ru60zjlHKg,2
101,9hBGfpru1ytlpHrUpzCi2w,2
102,pxRFWDsQ7YQ8_dWzqzMQdA,2
103,oMFeTt2Ry4m2ZIcgKKqx0A,2
104,oUK6Xs5dPPnP4whFeZExGg,2
105,WOw9TLTaTzJd4Do4MBbcHA,2
106,CWenIpiWVvcBJPXFR5A6OQ,2
107,9KIGNO7qJ6366VBAzO0Npw,2
108,Xib9R0OrMxJRsIOCfSnLYA,2
109,eRdQFwGEHvy4ifUYagzsTA,2
110,Zqk-ye_OHeH_sS1JsdsLgg,2
111,EumK5NjRJaO8Gz2PDTlvEw,2
112,e7vvovEzNPh2D8eY84PIgw,2
113,eZfHm0qI8A_HfvXScwIYsg,2
114,gnXv1DIrfD6ZJmVr9lY0Gw,2
115,-pXs08gJq9ExIk275YLvPg,2
116,1qXH9y2-j0tQImA1pU4WeA,2
117,lbPuJJAT5YsgAh36mU3dDA,2
118,pMefTWo6gMdx8WhYSA2u3w,2
119,MMxRLgkd-MgwowmggmR2Dg,2
120,yMiikE7cpVyVLDnJRClLfg,2
121,fD2BIDg2yV5EMeqzFXkvTQ,2
122,SlgpAnj2gQd44EM_Uq6DkQ,2
123,XivuRnPq3D-K5cPiBTztIA,2
124,1l_O3VEl9TV_JjKAzzyz0Q,2
125,qRWzBX1q07ZuPgaTXB_4JA,2
126,JUeGFCsprKVUYok4oLsdEA,2
127,qWTeFVdxXS-H5l41XA_Lxw,2
128,ghC_-3uK25V9pcmixuWatw,2
129,mnDcilbDG8tw648CrlOn8w,2
130,SqVUNVeYJblyoUz4e-Fiqw,2
131,uMeSBbQaP0waX2750AX-8w,2
132,Kl6jNDAE7PG_VVQafIptxQ,2
133,rCWrxuRC8_pfagpchtHp6A,2
134,XE36pmSiByd4YtSiPkn9_A,2
135,7Oe6ikklTjVBbEFw9emLcA,2
136,Qh4s4cirOrG8MdaIbH6Udw,2
137,3sY-Wj7CKDb9YjQm7LG5Ew,2
138,9-SlQK2lwcXVzk3tJU4x7g,2
139,zoDJg88wSHHJtQpEUdp_4Q,2
140,6a68uJTE0vCNdHfDGv2uyw,2
141,cqOIg8EAMEzjO4Mz-knvdQ,2
142,rhE4gLtM0gb3XLwSz6HPCw,2
143,P2E31XC7SP4v_3hXC2o0Xw,2
144,OqX5J5l9aPHzxYZ2EAD1YQ,2
145,E5Cq7K0sD7QHHQSDu1TLgg,2
146,QIy3iLXjBUBqRzwd2lnWGQ,2
147,rcZmGvLPPnzgPLd-JQqf8A,1
148,5lb0POg2t-AkMFx6603cYQ,1
149,y-bDpefe3c-5b4AZNOdSIQ,1
150,Svarn5CkxNjHv8qMbKpHbw,1
151,EmrahJMelcioolXzG8TVng,1
152,2uZ8uULKN38ZiM-Iakr5TA,1
153,_5HFgadpCIaSVINVvse2Kw,1
154,uDwnuU_ZccDOJyI5AzjLQQ,1
155,YSLbVgjkLc_Xp9nEDSyCLA,1
156,kBeERHFSJyJ_5zZHvvqASA,1
157,xHvXI-rNuk52jehqnQS0eg,1
158,UMoZmghR46SHBR-DpGWJHg,1
159,VQhvTClcf_Wcxm0Ei4GpqA,1
160,NGuMR5J-N3TJ-d2XOfOhag,1
161,YE54kKTuqJJPNYWIKIpOEQ,1
162,eoclNgxfpc0e4xOjWQE0Zg,1
163,StZTVDuFzahNvjl5qu6l7Q,1
164,Lyp38LJbanx1m4TeJgLtyg,1
165,NeOIp8tz0kfxtmA8YUPmJA,1
166,TSLOrm-QL9I8BzMXSODTQw,1
167,QTLL0xbcy7AyLUPJogk5kg,1
168,anKs5ZduICqh30Hd12OY2Q,1
169,c1b26WA_-T1UBv3MFwonQA,1
170,ub62tDwXuUiS6cDiWPHCNw,1
171,H5Asta4LpiKmRhSjWaogIg,1
172,5GDXk5Y3QhXBL0BCm6plPQ,1
173,Hju1tCHeRRGt35ZgxmI1Mg,1
174,4r2M6cFPugL7cJmc_6VYGA,1
175,I4bdIW3wlZiFsIbTSRPiHw,1
176,UHcHgBlyENbC5z-avwE9Yw,1
177,XYl43Jgcl_AgM5YXDFVy5A,1
178,L6_7SqVSVBTuotOHDXbonQ,1
179,YsQ4cWfznNqmTCVoHeCZTQ,1
180,V3MobZ-Bvg-hnp7Y-QPcOg,1
181,7h3WQtDMGMPIyeHVPMzKvA,1
182,5bBxOyXVTgLQLcA1gIrf-w,1
183,mY8rNG9TjT6kgQL3yU9aXQ,1
184,8zUniV0wOwnyjRWpAL_E-w,1
185,k3enC3w7N-EZG5vkQ4B_Sg,1
186,si_L7sgDIMEHWBpfm3ZxJw,1
187,W7wMz04Wc5xvzmh1Pf2GHA,1
188,v9vGnjphb0Hta0lvtf5haA,1
189,zJ2sNl8eQp-1ujnN8U_GnA,1
190,-sye6AyNSaw7YLsNumc6Mg,1
191,sg41GNBvfwgf1Q9aBv123A,1
192,m0rlyXg-v9dSBe-ouwsH_A,1
193,QxdlG_uzIVg5op20OMA5Fg,1
194,ZfI74lHwtwuUTXYolO83Eg,1
195,mImV-SnmFg6xYTwze7jnHQ,1
